event,lower_bound_duration,upper_bound_duration
buy,60.0,86400.0
aware,86400.0,604800
attempt,3600.0,10800.0
close,86400.0,604800
suggest,10.0,3600.0
bomb,2.0,5.0
explosion,1.0,10.0
blast,1.0,30.0
shock,86400.0,604800
hurt,10.0,180.0
explode,1.0,10.0
charge,3600.0,86400.0
discover,3600.0,10800.0
recover,604800,1814400
appear,2592000.0,94608000.0
find,3600.0,86400.0
come,1.0,20.0
work,7776000.0,94608000.0
evidence,2592000.0,94608000.0
extraordinary,2592000.0,315360000.0
connection,2592000.0,315360000.0
ignore,86400.0,2592000.0
responsibility,2592000.0,315360000.0
attack,1800.0,21600.0
assault,1.0,30.0
manhunt,2592000.0,7776000.0
continue,7776000.0,315360000.0
assign,3600.0,259200.0
search,180.0,1800.0
investigation,2592000.0,94608000.0
become,20.0,300.0
unwilling,604800,94608000.0
assertion,10.0,1800.0
remember,604800,94608000.0
convergence,15552000.0,157680000.0
seize,86400.0,2592000.0
transform,15552000.0,157680000.0
worthy,15552000.0,157680000.0
extend,2592000.0,5184000.0
include,604800,7776000.0
open,86400.0,604800
create,86400.0,2592000.0
add,2592000.0,2592000.0
tool,94608000.0,630720000.0
gain,2592000.0,2592000.0
develop,2592000.0,5184000.0
spearhead,2592000.0,31536000.0
development,2592000.0,94608000.0
support,31536000.0,630720000.0
initiatives,2592000.0,5184000.0
instal,600.0,86400.0
implement,2592000.0,15552000.0
ensure,94608000.0,946080000.0
success,86400.0,2592000.0
flourish,15552000.0,157680000.0
transactions,60.0,86400.0
plan,604800,2592000.0
necessary,604800,7776000.0
position,7776000.0,157680000.0
optimise,2592000.0,31536000.0
expand,2592000.0,94608000.0
provide,31536000.0,630720000.0
mediate,2592000.0,94608000.0
improve,2592000.0,5184000.0
communications,7776000.0,94608000.0
collaboration,7776000.0,94608000.0
place,2592000.0,94608000.0
link,604800,7776000.0
emerge,2592000.0,31536000.0
address,7776000.0,157680000.0
usage,15552000.0,157680000.0
begin,300.0,86400.0
infiltrate,7776000.0,94608000.0
experience,7776000.0,94608000.0
overtake,2592000.0,31536000.0
use,2592000.0,94608000.0
keep,63072000000.0,91454400000.0
promise,600.0,3600.0
hostage,50400.0,172800.0
dismember,600.0,1800.0
decapitate,60.0,900.0
wrap,86400.0,172800.0
confirm,3.0,300.0
belong,1545264000.0,3153600000.0
kidnap,3600.0,14400.0
demand,2592000.0,2592000.0
ransom,600.0,86400.0
negotiations,3600.0,10800.0
break,1800.0,21600.0
give,86400.0,604800
return,10800.0,259200.0
cut,63072000.0,63072000.0
stuff,60.0,180.0
target,7776000.0,157680000.0
alert,2592000.0,946080000.0
increase,604800,15552000.0
suffer,31536000.0,31536000.0
kidnappings,300.0,3600.0
crime,300.0,3600.0
common,157680000.0,946080000.0
resolve,2592000.0,5184000.0
standoff,2592000.0,31536000.0
do,1800.0,21600.0
expect,259200.0,7776000.0
proposal,604800,7776000.0
insist,2592000.0,31536000.0
deal,604800,7776000.0
access,31536000.0,315360000.0
talk,2592000.0,94608000.0
cause,86400.0,604800
destruction,2.0,5.0
discovery,3600.0,10800.0
truce,20736000.0,20736000.0
undermine,600.0,1200.0
resume,86400.0,2592000.0
expel,86400.0,2592000.0
punishment,3600.0,7200.0
arrest,86400.0,2592000.0
carry,3600.0,21600.0
cosponsor,604800,1209600
suppose,604800,1209600
conclude,86400.0,1209600
invite,86400.0,604800
rejoin,604800,1209600
push,2592000.0,5184000.0
settlement,604800,1209600
promote,2592000.0,157680000.0
unification,31536000.0,315360000.0
live,7776000.0,630720000.0
want,3600.0,604800
oppose,600.0,1200.0
unite,31536000.0,63072000.0
government,2592000.0,5184000.0
threaten,604800,1209600
expulsion,604800,1209600
responsible,31536000.0,63072000.0
rally,172800.0,172800.0
Confrontations,3600.0,10800.0
provoke,604800,1209600
violence,604800,1209600
crowd,3600.0,10800.0
hear,1.0,20.0
pledge,600.0,1200.0
participate,172800.0,172800.0
prevent,3600.0,10800.0
wave,10.0,60.0
interfere,604800,1209600
hit,1.0,30.0
respond,60.0,1800.0
scatter,60.0,600.0
hospitalize,3600.0,10800.0
land,1.0,5.0
decline,2592000.0,2592000.0
income,7776000.0,7776000.0
pricecutting,300.0,86400.0
fell,1209600,1209600
rise,2592000.0,2592000.0
result,900.0,3600.0
earn,7776000.0,7776000.0
profit,7776000.0,7776000.0
Turning,600.0,3600.0
vote,600.0,86400.0
put,3600.0,86400.0
question,3.0,10.0
applause,15.0,60.0
echo,45.0,180.0
pass,600.0,900.0
owe,315360000.0,630720000.0
proposition,900.0,3600.0
isolate,2592000.0,5184000.0
Calling,86400.0,604800
write,3600.0,259200.0
defeat,900.0,3600.0
campaign,604800,15552000.0
save,31536000.0,94608000.0
fall,10.0,600.0
show,5184000.0,18144000.0
diminish,31536000.0,31536000.0
independent,3122064000.0,3153600000.0
recognize,3122064000.0,3153600000.0
convention,31536000.0,315360000.0
assure,600.0,1200.0
thing,2592000.0,7776000.0
business,2592000.0,7776000.0
indicate,7776000.0,94608000.0
understand,31536000.0,315360000.0
rest,31536000.0,315360000.0
advocate,7776000.0,12960000.0
welcome,86400.0,604800
approve,300.0,3600.0
treatment,2592000.0,94608000.0
produce,604800,1209600
action,2592000.0,63072000.0
deny,86400.0,172800.0
request,86400.0,2592000.0
decide,600.0,86400.0
grant,60.0,1200.0
turn,86400.0,259200.0
producer,157680000.0,946080000.0
seller,157680000.0,946080000.0
beneficiaries,2592000.0,94608000.0
eligible,86400.0,2592000.0
total,5.0,300.0
accord,604800,2592000.0
loss,7776000.0,7776000.0
narrow,7776000.0,7776000.0
leap,7776000.0,7776000.0
surge,2592000.0,2592000.0
conduct,2592000.0,5184000.0
incorporate,60.0,600.0
introduction,1576800000.0,1892160000.0
imagine,10.0,20.0
intransigence,2592000.0,31536000.0
flex,2592000.0,31536000.0
prowl,600.0,7200.0
insert,60.0,600.0
furnish,60.0,600.0
entice,600.0,3600.0
indulge,3600.0,10800.0
discussions,600.0,3600.0
reproduce,1800.0,3600.0
monitor,86400.0,2592000.0
interpret,31536000.0,315360000.0
organise,2592000.0,5184000.0
seminar,86400.0,172800.0
deliberate,86400.0,172800.0
payable,86400.0,86400.0
pay,86400.0,2592000.0
apply,86400.0,2592000.0
allocate,86400.0,2592000.0
build,7776000.0,315360000.0
enter,300.0,3600.0
production,1671408000.0,1671408000.0
double,86400.0,2592000.0
untouched,15552000.0,315360000.0
crisis,2592000.0,15552000.0
suspend,86400.0,2592000.0
service,94608000.0,946080000.0
flight,10800.0,43200.0
boost,7776000.0,94608000.0
tie,1576800000.0,15768000000.0
announce,30.0,1800.0
statement,60.0,600.0
depart,600.0,3600.0
awareness,31536000.0,315360000.0
consultant,31536000.0,630720000.0
gap,604800,604800
conference,3600.0,7200.0
will,2592000.0,31536000.0
peace,31536000.0,946080000.0
effort,2592000.0,15552000.0
stretch,7776000.0,94608000.0
risk,604800,7776000.0
out,172800.0,604800
off,5.0,60.0
likely,86400.0,604800
maintain,60.0,900.0
grip,172800.0,604800
tour,36000.0,36000.0
fly,604800,7776000.0
locate,31536000.0,630720000.0
strand,3600.0,259200.0
power,31536000.0,315360000.0
run,2592000.0,2592000.0
get,10.0,300.0
transplant,3600.0,259200.0
travel,21600.0,172800.0
treat,604800,15552000.0
evolve,63072000.0,315360000.0
accumulate,31536000.0,157680000.0
distribute,86400.0,2592000.0
Chanting,10800.0,86400.0
mirror,10800.0,86400.0
election,86400.0,259200.0
half,63072000.0,63072000.0
abandon,604800,15552000.0
eager,604800,15552000.0
dispense,86400.0,259200.0
bolster,2592000.0,31536000.0
discuss,3600.0,10800.0
back,604800,15552000.0
threat,2592000.0,31536000.0
roll,300.0,3600.0
Posing,1.0,180.0
stand,189216000.0,252288000.0
warn,600.0,3600.0
real,2592000.0,31536000.0
patrol,3600.0,10800.0
alone,2592000.0,31536000.0
strike,1800.0,21600.0
statements,5.0,300.0
article,3600.0,86400.0
comment,10.0,3600.0
allegations,3600.0,86400.0
raise,5.0,60.0
implication,3600.0,86400.0
impropriety,86400.0,604800
inaccurate,3600.0,86400.0
subject,604800,2592000.0
leak,604800,5184000.0
mislead,604800,7776000.0
dignify,10.0,600.0
response,5.0,60.0
clear,20.0,300.0
believe,2592000.0,315360000.0
influence,86400.0,2592000.0
recollection,86400.0,2592000.0
false,3600.0,86400.0
mischaracterization,3600.0,86400.0
dismay,86400.0,604800
testimony,86400.0,2592000.0
know,2592000.0,94608000.0
stories,3600.0,86400.0
please,60.0,3600.0
state,20.0,1200.0
learn,7776000.0,94608000.0
name,60.0,3600.0
commander,604800,7776000.0
mission,604800,7776000.0
co-pilot,604800,7776000.0
boss,604800,7776000.0
choose,3600.0,604800
model,31536000.0,1576800000.0
lack,946080000.0,1261440000.0
pick,86400.0,2592000.0
astronaut,157680000.0,630720000.0
progression,157680000.0,630720000.0
hurry,157680000.0,630720000.0
catch,31536000.0,315360000.0
showdown,604800,2592000.0
liar,31536000.0,315360000.0
outbreak,604800,1814400
saw,1.0,10.0
reason,604800,1209600
optimistic,604800,1209600
stem,604800,1209600
invasion,86400.0,604800
buildup,2592000.0,63072000.0
withdraw,2592000.0,15552000.0
embargo,630720000.0,1261440000.0
unabated,2592000.0,5184000.0
entry,2592000.0,5184000.0
deploy,600.0,3600.0
guidance,604800,1209600
provision,604800,1209600
grow,31536000.0,31536000.0
safety,2592000.0,5184000.0
trap,2592000.0,5184000.0
assemble,2592000.0,5184000.0
comply,2592000.0,31536000.0
roundup,2592000.0,5184000.0
protect,630720000.0,3153600000.0
threats,2592000.0,5184000.0
fear,86400.0,2592000.0
intern,2592000.0,5184000.0
head,21600.0,172800.0
expansionism,2592000.0,5184000.0
number,2592000.0,5184000.0
power-grab,604800,1209600
pray,604800,1209600
confrontation,604800,1209600
receive,3600.0,7200.0
mass,2592000.0,5184000.0
occupiers,2592000.0,5184000.0
Replied,600.0,1200.0
analyze,86400.0,259200.0
distort,86400.0,172800.0
truth,86400.0,172800.0
distract,604800,1209600
aggression,604800,1209600
mobilize,604800,1209600
spark,31536000.0,63072000.0
operation,86400.0,172800.0
defend,315360000.0,3153600000.0
arrive,600.0,7200.0
there,2592000.0,5184000.0
stay,94608000.0,3153600000.0
commit,259200.0,5184000.0
aid,31536000.0,315360000.0
authorize,31536000.0,1576800000.0
interdict,604800,1209600
halt,2592000.0,5184000.0
engage,604800,1209600
retreat,86400.0,2592000.0
lock,604800,1209600
play,2592000.0,5184000.0
rim,604800,1209600
operations,86400.0,172800.0
strangle,5.0,300.0
quarantine,2592000.0,5184000.0
hop,7776000.0,31536000.0
staunch,2592000.0,5184000.0
flow,2592000.0,5184000.0
clamp,2592000.0,5184000.0
conquest,2592000.0,5184000.0
chokehold,31536000.0,63072000.0
stop,604800,15552000.0
trade,86400.0,86400.0
ship,604800,1209600
trail,2592000.0,5184000.0
objective,2592000.0,5184000.0
shut,604800,1209600
outlet,604800,1209600
barricade,604800,1209600
offset,604800,1209600
cost,86400.0,604800
shipments,604800,1209600
stream,604800,1209600
replacement,604800,1209600
remove,1800.0,21600.0
decision,86400.0,2592000.0
honor,86400.0,172800.0
sanction,604800,7776000.0
pump,604800,1209600
notify,604800,1209600
cutbacks,604800,1209600
cutback,604800,1209600
assassination,86400.0,172800.0
lead,946080000.0,1103760000.0
quote,10.0,3600.0
occur,86400.0,259200.0
inspect,3600.0,21600.0
cooperation,31536000.0,157680000.0
resist,31536000.0,157680000.0
verify,7776000.0,63072000.0
destroy,60.0,10800.0
last,604800,1209600
inspection,3600.0,21600.0
allege,10.0,3600.0
mention,60.0,10800.0
visit,86400.0,604800
assist,10800.0,36000.0
speak,31536000.0,1892160000.0
test,86400.0,2592000.0
agree,3600.0,604800
argue,60.0,3600.0
inspections,3600.0,43200.0
draft,604800,2592000.0
consultation,604800,2592000.0
lift,86400.0,604800
certify,86400.0,604800
drop,1.0,10.0
losses,7776000.0,7776000.0
down,10368000.0,10368000.0
reflect,2592000.0,5184000.0
acquisition,86400.0,2592000.0
discount,86400.0,7776000.0
post,300.0,3600.0
expansion,31536000.0,157680000.0
bless,94608000.0,630720000.0
spread,31536000.0,315360000.0
recruit,86400.0,31536000.0
surprise,86400.0,31536000.0
jump,31536000.0,31536000.0
identify,604800,7776000.0
successful,15552000.0,315360000.0
promotion,31536000.0,315360000.0
organize,3600.0,86400.0
feel,259200.0,7776000.0
popular,31536000.0,315360000.0
sell,60.0,86400.0
join,86400.0,2592000.0
attract,31536000.0,315360000.0
approach,86400.0,604800
Battle,86400.0,315360000.0
note,20.0,300.0
ability,15552000.0,315360000.0
crimes,300.0,21600.0
behind,604800,7776000.0
challenge,2592000.0,94608000.0
fight,15552000.0,63072000.0
term,600.0,10800.0
present,10.0,3600.0
eject,86400.0,2592000.0
compete,2592000.0,23328000.0
gather,1800.0,10800.0
candidacy,2592000.0,23328000.0
draw,300.0,3600.0
presidency,63072000.0,315360000.0
face,31536000.0,315360000.0
restructure,604800,15552000.0
addition,7776000.0,7776000.0
feature,604800,7776000.0
consolidate,86400.0,2592000.0
wind,86400.0,2592000.0
dispose,86400.0,2592000.0
originate,86400.0,604800
mandate,15552000.0,157680000.0
breakup,2592000.0,31536000.0
bedevil,31536000.0,63072000.0
cover,86400.0,2592000.0
tackle,604800,1209600
require,315360000.0,1576800000.0
compromise,2592000.0,5184000.0
ratify,604800,1209600
stall,31536000.0,63072000.0
ratification,604800,1209600
agreement,604800,1209600
permit,630720000.0,630720000.0
release,300.0,3600.0
consult,3600.0,7200.0
assail,3600.0,7200.0
aim,2592000.0,157680000.0
manufacture,31536000.0,315360000.0
coordination,2592000.0,5184000.0
improvement,2592000.0,5184000.0
impoverish,2592000.0,5184000.0
transition,31536000.0,63072000.0
assistance,86400.0,2592000.0
lose,3.0,60.0
problems,604800,7776000.0
think,2592000.0,31536000.0
invincible,31536000.0,473040000.0
news,86400.0,86400.0
construction,259200.0,2592000.0
way,259200.0,2592000.0
crash,10.0,60.0
own,2592000.0,157680000.0
estimate,600.0,10800.0
worth,86400.0,7776000.0
plunge,2592000.0,2592000.0
soar,2592000.0,7776000.0
downturn,2592000.0,7776000.0
boom,315360000.0,315360000.0
layoffs,300.0,86400.0
time,86400.0,7776000.0
reposition,86400.0,2592000.0
recession,2592000.0,315360000.0
presume,604800,1814400
interview,300.0,1200.0
abduct,3600.0,10800.0
account,3600.0,172800.0
fate,86400.0,94608000.0
capture,3600.0,10800.0
inform,3600.0,10800.0
die,3600.0,10800.0
discourage,57024000.0,57024000.0
proof,57024000.0,57024000.0
life,57024000.0,57024000.0
death,57024000.0,57024000.0
establish,604800,1814400
happen,1800.0,31536000.0
abduction,604800,1814400
involve,31536000.0,63072000.0
flee,60.0,300.0
bury,3600.0,7200.0
policies,31536000.0,63072000.0
deaths,1.0,86400.0
defection,604800,2419200
stag,604800,1814400
evade,604800,1814400
form,31536000.0,157680000.0
vindicate,300.0,3600.0
invalidate,86400.0,2592000.0
uphold,86400.0,2592000.0
opinion,60.0,3600.0
reasonable,31536000.0,630720000.0
rely,60.0,3600.0
dissent,5.0,30.0
amount,63072000.0,946080000.0
policy,31536000.0,315360000.0
manage,604800,7776000.0
cast,604800,7776000.0
withstand,31536000.0,1576800000.0
disruptions,2592000.0,5184000.0
tumult,2592000.0,5184000.0
forecast,3600.0,7200.0
trend,31536000.0,31536000.0
slow,2592000.0,15552000.0
disregard,600.0,1200.0
bet,3600.0,7200.0
inflation,2592000.0,5184000.0
loom,2592000.0,5184000.0
edge,2592000.0,2592000.0
creation,2592000.0,2592000.0
counterbalance,2592000.0,2592000.0
intend,1800.0,604800
tilt,2592000.0,5184000.0
revision,5184000.0,18144000.0
average,7776000.0,10368000.0
rebound,2592000.0,2592000.0
invigorate,2592000.0,2592000.0
invest,31536000.0,63072000.0
balance,2592000.0,2592000.0
harm,2592000.0,157680000.0
weakness,2592000.0,7776000.0
exhaust,2592000.0,5184000.0
beat,60.0,3600.0
rate,2592000.0,2592000.0
re-examine,604800,7776000.0
contain,946080000.0,1576800000.0
suspicion,604800,7776000.0
plight,157680000.0,630720000.0
events,3600.0,86400.0
dead,3153600000.0,31536000000.0
victims,630720000.0,630720000.0
violations,31536000.0,630720000.0
end,7776000.0,94608000.0
misery,630720000.0,1576800000.0
better,2592000.0,15552000.0
worse,604800,5184000.0
right,157680000.0,1576800000.0
equal,31536000.0,315360000.0
forbid,157680000.0,946080000.0
greater,157680000.0,630720000.0
dependent,31536000.0,315360000.0
symbolize,31536000.0,315360000.0
realize,31536000.0,315360000.0
condition,157680000.0,946080000.0
appeal,86400.0,2592000.0
bloodletting,31536000.0,630720000.0
tear,31536000.0,630720000.0
apart,31536000.0,630720000.0
slash,2592000.0,15552000.0
freeze,2592000.0,31536000.0
shake,2592000.0,15552000.0
initiative,2592000.0,31536000.0
revitalize,15552000.0,94608000.0
applaud,86400.0,15552000.0
intense,2592000.0,15552000.0
stock,1576800000.0,3153600000.0
here,7776000.0,63072000.0
skyrocket,7776000.0,63072000.0
downsize,2592000.0,15552000.0
waste,157680000.0,630720000.0
excellent,15552000.0,94608000.0
list,10.0,300.0
donate,3600.0,86400.0
publish,3600.0,604800
elections,86400.0,86400.0
depress,31536000.0,630720000.0
win,86400.0,86400.0
relocate,2592000.0,31536000.0
implications,86400.0,2592000.0
neighbor,31536000.0,946080000.0
teach,31536000.0,630720000.0
permission,86400.0,604800
alarm,604800,7776000.0
ignorance,31536000.0,630720000.0
denounce,604800,7776000.0
bigotry,604800,7776000.0
opposition,604800,7776000.0
shift,86400.0,604800
split,604800,7776000.0
unfair,604800,7776000.0
penalize,604800,7776000.0
further,2592000.0,31536000.0
violate,86400.0,2592000.0
complain,60.0,3600.0
status,7776000.0,157680000.0
wonder,60.0,3600.0
compel,86400.0,604800
worship,300.0,10800.0
deliver,60.0,3600.0
embrace,2592000.0,94608000.0
collision,604800,7776000.0
According,300.0,3600.0
religion,31536000.0,946080000.0
gunfire,86400.0,172800.0
offensive,86400.0,172800.0
afraid,3600.0,172800.0
over,3600.0,86400.0
witness,86400.0,604800
beginnings,86400.0,172800.0
conflict,7776000.0,315360000.0
glut,7776000.0,31536000.0
solution,7776000.0,15552000.0
level,604800,7776000.0
Weakened,7776000.0,10368000.0
easier,7776000.0,31536000.0
trouble,7776000.0,94608000.0
reinstate,86400.0,2592000.0
convictions,126144000.0,189216000.0
fraud,31536000.0,157680000.0
convict,126144000.0,189216000.0
defraud,2592000.0,94608000.0
worthless,86400.0,2592000.0
bankrupt,2592000.0,31536000.0
throw,86400.0,2592000.0
parole,86400.0,604800
flaw,31536000.0,94608000.0
rain,10800.0,172800.0
landslides,10.0,600.0
saturate,259200.0,2592000.0
can,259200.0,2592000.0
absorb,10800.0,172800.0
cascade,60.0,600.0
rip,10.0,180.0
evacuation,3600.0,86400.0
slip,86400.0,1209600
signal,86400.0,604800
secure,94608000.0,946080000.0
cooperate,2592000.0,31536000.0
resolution,86400.0,604800
withdrawal,2592000.0,15552000.0
occupy,315360000.0,630720000.0
deployment,2592000.0,15552000.0
remark,300.0,3600.0
mark,300.0,3600.0
modify,604800,7776000.0
mount,315360000.0,315360000.0
movement,31536000.0,315360000.0
wound,1.0,10.0
renew,86400.0,2592000.0
lecture,1800.0,10800.0
refer,1.0,10.0
speech,600.0,7200.0
exchange,2592000.0,15552000.0
guarantee,31536000.0,946080000.0
watch,300.0,3600.0
empty,10.0,60.0
clean,1800.0,3600.0
dry,1800.0,3600.0
panic,10.0,1200.0
rob,300.0,1800.0
pronounce,60.0,600.0
injure,10.0,600.0
predict,2592000.0,94608000.0
demise,2592000.0,31536000.0
hasten,630720000.0,1103760000.0
endure,630720000.0,1103760000.0
outlast,946080000.0,1103760000.0
outsmart,946080000.0,1103760000.0
view,86400.0,604800
persuade,315360000.0,1576800000.0
tolerate,31536000.0,315360000.0
able,86400.0,604800
advance,86400.0,2592000.0
relationship,94608000.0,630720000.0
battle,2592000.0,31536000.0
disappoint,86400.0,2592000.0
exploitation,31536000.0,1261440000.0
relations,630720000.0,1576800000.0
sales,31536000.0,31536000.0
delve,2592000.0,94608000.0
slay,10.0,3600.0
acknowledge,300.0,10800.0
murder,10.0,3600.0
prostitute,7776000.0,315360000.0
unsolved,7776000.0,3153600000.0
Citing,300.0,3600.0
case,7776000.0,31536000.0
stab,1.0,60.0
asphyxiate,5.0,300.0
seem,7776000.0,94608000.0
relate,7776000.0,3153600000.0
careful,2592000.0,94608000.0
rendezvous,3600.0,86400.0
impact,86400.0,2592000.0
up,60.0,600.0
broadcast,600.0,21600.0
this,3600.0,21600.0
eve,3600.0,21600.0
it,86400.0,604800
expectations,86400.0,2592000.0
portrait,31536000.0,630720000.0
enthusiastic,86400.0,604800
coverage,2592000.0,315360000.0
story,86400.0,604800
unfold,86400.0,604800
prepare,2592000.0,94608000.0
act,10800.0,604800
rebuild,7776000.0,315360000.0
bite,60.0,1800.0
approval,86400.0,1209600
gloss,60.0,3600.0
productive,31536000.0,630720000.0
constructive,31536000.0,630720000.0
strong,31536000.0,630720000.0
fail,604800,7776000.0
soften,10.0,600.0
trip,259200.0,604800
explain,1800.0,10800.0
quiz,180.0,1800.0
protection,2592000.0,94608000.0
invade,86400.0,2592000.0
dominate,3153600000.0,31536000000.0
dialect,1576800000.0,31536000000.0
language,3153600000.0,63072000000.0
Think,10.0,300.0
answer,2.0,60.0
conversation,5.0,60.0
ident,5.0,20.0
contact,5.0,60.0
